name,url,last_day,last_month,last_week,updated_at
sse-starlette,https://pypi.org/simple/sse-starlette/,2991226,61967175,16912950,1769741962.8835642
httpx-sse,https://pypi.org/simple/httpx-sse/,2917939,61466215,16697965,1769654057.139152
botocore-stubs,https://pypi.org/simple/botocore-stubs/,3596068,61241947,19188515,1769616657.265519
shapely,https://pypi.org/simple/shapely/,2173673,61106968,13655863,1769735960.267343
litellm,https://pypi.org/simple/litellm/,1994544,59444371,12670000,1769683837.8960326
multiprocess,https://pypi.org/simple/multiprocess/,2809828,59275409,15597808,1769693291.3063173
slack-sdk,https://pypi.org/simple/slack-sdk/,2450167,59192378,14495116,1769738257.9672415
datadog,https://pypi.org/simple/datadog/,2474850,59072978,14461510,1769628314.471754
boto3-stubs,https://pypi.org/simple/boto3-stubs/,3632814,58882643,18621707,1769616541.7891269
azure-common,https://pypi.org/simple/azure-common/,2335220,58694163,14182158,1769612914.8621566
pendulum,https://pypi.org/simple/pendulum/,2192472,58494561,13889184,1769708812.7237475
pycodestyle,https://pypi.org/simple/pycodestyle/,2440840,58488356,14426095,1769717032.1319158
dulwich,https://pypi.org/simple/dulwich/,3185917,58485984,16967266,1769637214.946411
